letter_recognition.txt  26.0 100.0 0.001 100.0
Iteration 28: SSE = 6.845826778797563E-5
Iteration 29: SSE = 6.820851757354367E-5
Iteration 30: SSE = 6.790884092797859E-5
Iteration 31: SSE = 6.762082168185672E-5
Iteration 32: SSE = 6.737029235213493E-5
Iteration 33: SSE = 6.712434839738367E-5
Iteration 34: SSE = 6.68816377553543E-5
Iteration 35: SSE = 6.675506691729467E-5
Iteration 36: SSE = 6.669887148158264E-5

Run 14
-------
Iteration 1: SSE = 2.366491366355549E-4
Iteration 2: SSE = 1.329097689646251E-4
Iteration 3: SSE = 1.2436249070123896E-4
Iteration 4: SSE = 1.1868073615197902E-4
Iteration 5: SSE = 1.157977131604556E-4
Iteration 6: SSE = 1.1275321791597423E-4
Iteration 7: SSE = 1.1007176069768545E-4
Iteration 8: SSE = 1.0653260725293171E-4
Iteration 9: SSE = 1.031740998295925E-4
Iteration 10: SSE = 9.828165911765019E-5
Iteration 11: SSE = 9.406429371222002E-5
Iteration 12: SSE = 9.001616751677464E-5
Iteration 13: SSE = 8.710541242538295E-5
Iteration 14: SSE = 8.5065538021318E-5
Iteration 15: SSE = 8.345248656405652E-5
Iteration 16: SSE = 8.223203844171248E-5
Iteration 17: SSE = 8.114277263868291E-5
Iteration 18: SSE = 7.951595417498929E-5
Iteration 19: SSE = 7.77394988617556E-5
Iteration 20: SSE = 7.655497066340351E-5
Iteration 21: SSE = 7.526961935985554E-5
Iteration 22: SSE = 7.292163913360736E-5
Iteration 23: SSE = 7.114554741349006E-5
Iteration 24: SSE = 7.002077710251904E-5
Iteration 25: SSE = 6.896247621130668E-5
Iteration 26: SSE = 6.818736744489483E-5
Iteration 27: SSE = 6.769652676965624E-5
Iteration 28: SSE = 6.722694647656633E-5
Iteration 29: SSE = 6.685266210669251E-5
Iteration 30: SSE = 6.659519841703104E-5
Iteration 31: SSE = 6.640469391125686E-5
Iteration 32: SSE = 6.625531110702868E-5
Iteration 33: SSE = 6.611890010256061E-5
Iteration 34: SSE = 6.59887183190371E-5
Iteration 35: SSE = 6.58840718369363E-5
Iteration 36: SSE = 6.581230393212339E-5
Iteration 37: SSE = 6.575992487932286E-5

Run 15
-------
Iteration 1: SSE = 2.317291642209148E-4
Iteration 2: SSE = 1.3295390556831033E-4
Iteration 3: SSE = 1.2316038557680365E-4
Iteration 4: SSE = 1.180249081349864E-4
Iteration 5: SSE = 1.1374497647719969E-4
Iteration 6: SSE = 1.0823170633246715E-4
Iteration 7: SSE = 1.0289388528003563E-4
Iteration 8: SSE = 1.0012526037989655E-4
Iteration 9: SSE = 9.815715918221849E-5
Iteration 10: SSE = 9.6250757117654E-5
Iteration 11: SSE = 9.419429876133438E-5
Iteration 12: SSE = 9.185803081357329E-5
Iteration 13: SSE = 8.971154208342147E-5
Iteration 14: SSE = 8.725212354917421E-5
Iteration 15: SSE = 8.455013120576512E-5
Iteration 16: SSE = 8.23199122861668E-5
Iteration 17: SSE = 8.010193637310129E-5
Iteration 18: SSE = 7.768691989660717E-5
Iteration 19: SSE = 7.620635835667658E-5
Iteration 20: SSE = 7.524727747881974E-5
Iteration 21: SSE = 7.415723458553496E-5
Iteration 22: SSE = 7.322944470606874E-5
Iteration 23: SSE = 7.234040250142535E-5
Iteration 24: SSE = 7.150286822583526E-5
Iteration 25: SSE = 7.073292946944782E-5
Iteration 26: SSE = 7.01936481294881E-5
Iteration 27: SSE = 6.97494170743794E-5
Iteration 28: SSE = 6.936194194347422E-5
Iteration 29: SSE = 6.901699139784891E-5
Iteration 30: SSE = 6.85357566571938E-5
Iteration 31: SSE = 6.80015429037251E-5
Iteration 32: SSE = 6.760807704557093E-5
Iteration 33: SSE = 6.733820278124039E-5
Iteration 34: SSE = 6.713573138857073E-5
Iteration 35: SSE = 6.694941308668041E-5
Iteration 36: SSE = 6.678294635797966E-5
Iteration 37: SSE = 6.663412478710316E-5
Iteration 38: SSE = 6.6486410995637E-5
Iteration 39: SSE = 6.635249855457905E-5
Iteration 40: SSE = 6.624443449561688E-5
Iteration 41: SSE = 6.616940680930001E-5
Iteration 42: SSE = 6.612307202347483E-5

Run 16
-------
Iteration 1: SSE = 1.8260989015717985E-4
Iteration 2: SSE = 1.371603666710366E-4
Iteration 3: SSE = 1.2493972096883467E-4
Iteration 4: SSE = 1.1935402492119053E-4
Iteration 5: SSE = 1.1526285388942768E-4
Iteration 6: SSE = 1.0820948261269047E-4
Iteration 7: SSE = 1.02750498841533E-4
Iteration 8: SSE = 9.981102385935501E-5
Iteration 9: SSE = 9.75630969560089E-5
